"aphid_ura3_1","aphid_ura3_2","aphid_cdrS_1","aphid_cdrS_2","aphid_cdrS_3","aphid_ura3_3","release_ura3_1","release_ura3_2","release_cdrS_1","release_cdrS_2","release_cdrS_3","release_ura3_3"
"coxA2",-0.0192430668993031,0.224950145639516,-0.0212184740543287,-0.0293141797740601,0.00235879585241517,-0.0795861079310662,-0.125071994441491,0.142447676907051,-0.237944783613221,-0.318946204488641,-0.286700816707373,-0.485277292854153
"csg",0.108574635735492,0.419679852224301,0.391539865061684,0.510725255129228,0.468447729461182,0.548843715213439,0.669470961866254,0.809899034508951,0.818539794683429,1.02851572941325,0.926505162503372,1.17175194965986
"dpsA",0.899649552331547,1.14169020228833,1.17707026932483,1.15645622379945,1.39138927721433,1.44990834328424,1.05876649632687,1.03295834425501,1.43258539005069,1.42692822746515,1.39358066988254,1.54052448257729
"eif1a2",0.217704857193135,0.139081669302761,0.145743913784744,0.399320683065356,0.415826216626838,0.524609137784474,0.08492341913861,-0.166618221301767,0.242053446910666,0.335277475320947,0.334020604539986,0.367243392430697
"ftsZ1",-0.681891620700761,-0.593579824494278,-0.677591328650966,-0.746236442521685,-0.633201324582343,-0.719025143350367,-0.685300077762874,-0.448321024333049,-0.666614398705415,-0.828244779617124,-0.920838647984603,-0.752581869502398
"ftsZ2",-0.699529137997147,-0.422442231891605,-1.04907593725135,-1.01756832180651,-0.667622670190065,-0.323423378887168,-0.210772110397945,-0.170754032125684,-0.302166707448763,-0.509752924313826,-0.607250419190243,-0.0657161668234625
"ftsZ3",-0.835506914275049,-0.688585148470674,-0.944074241305915,-0.770984543794147,-0.68375513621276,-0.771954147409112,-0.540425612855702,-0.573420997593276,-0.659071188433217,-0.601153651128524,-0.621663484952595,-0.381746064404172
"ftsZ4",-0.317883904125777,-0.29936212075068,-0.220588558091,-0.213602954142899,-0.0153211933583631,-0.164046422580384,-0.0618518391021182,0.261452689108894,0.134238521549923,-0.00339610624616993,-0.0578275562540425,-0.020928754499467
"ftsZ5",0.254816622544134,-0.0908284144351841,0.159533161675981,0.209472482653058,0.217437641930745,0.310017398580394,0.314509813544359,0.0480057089458247,0.317605001594961,0.387724455879478,0.382467101661394,0.413337212296642
"hpyA",-0.528813007813553,-0.544171300658346,-0.586600084766856,-0.585357902335206,-0.698713425397458,-0.789114158408892,0.106410576351075,0.133498672464224,0.0679967782173972,0.240962938779922,0.214763581238875,0.151675085212846
"mc1",-0.110612245213454,0.28289878901989,0.258274736041208,0.157213394353869,0.470543293600729,0.404091746812446,0.76845408121158,1.04904052878231,1.10108056862396,1.02872615834425,1.00785543923656,1.14083486351767
"minD1",-0.047944227724581,0.470345197154775,0.249220448657258,0.15589854599027,0.223457856315218,0.310366039551625,0.171572410330868,0.756402681166067,0.422091703686852,0.375396248482799,0.300209719516887,0.507604168847531
"minD2",-0.557116341405964,-0.487239818582974,-1.02062234925162,-0.608546620923249,-0.215663872733163,-0.292390643058821,0.366312074264587,0.300082241830194,0.626189539443049,0.742493317766769,0.70198240922463,0.656470529095678
"mrp",0.0683918132876574,0.111934319881209,0.301668224155683,0.165373000509594,0.14493885120275,0.233262497653958,0.0496380655518163,0.0630105468792386,0.302305705999347,0.286258501405172,0.252037632483471,0.272459990690834
"sojA",-1.79265391512555,-1.38667320887364,-2.33896770616584,-2.47885629415955,-2.51028112399317,-1.59280246201848,0.233998326103931,0.35916350011265,-0.98365300939518,-0.936250376896973,-0.941872102793232,0.0311490041902484
"sojB",-0.483742485394703,-0.62592763969472,-0.342555063155961,-0.386461449902802,-0.325009491231829,-0.469448228309394,0.242966157234345,0.133872072836429,0.283591417369089,0.469163131751656,0.47117577576352,0.340772605338252
"sojC1",-1.21782747861805,-1.51565666903941,-1.26346945087906,-1.222557651018,-1.81289930326679,-1.59762734754312,0.0818766185689631,-0.484362934783132,0.329588977683523,0.416823990381242,0.313957262593235,0.255553332640256
"sojC2",-4.13249369452328,-4.00174871743977,-4.09198488844337,-3.74762410418517,-3.89651699735538,-3.67492025861606,-3.98535667742962,-3.74795711559076,-3.38774141067289,-3.24831789517318,-3.60223966282039,-3.21796578907641
"sojD",-1.27155080935152,-1.55957857241787,-1.83368791939466,-1.35228655775579,-1.64131440213946,-1.91732661057842,0.0515224841715654,-0.480778293624444,-0.262572476242058,-0.0527609055389882,-0.0529251103384463,-0.131139372358886
"sojE",-0.629847223000673,-0.421046659941435,-0.154745102961689,-0.453545542420426,-0.503565388174753,-0.470174911113637,0.153877058967914,-0.220065477198639,1.11910351412027,0.914348853648476,0.70955472460716,0.28982839644963
"VNG0194H",-0.605710304941032,-0.267526046170471,-10.612764115026,-9.15302474827213,-8.91480174324662,-0.208007825266859,-0.00921005060821519,0.0440309302942211,-9.27221577569427,-8.57499710766569,-8.65644951163982,0.141771824686092
"VNG0195H",-0.583991646104023,-0.42569171213978,-0.477190875734792,-0.485118555178441,-0.436704124203765,-0.413721301368159,-0.0838942098616758,0.245766003869457,0.126839869109774,0.116533816595952,0.136406900511158,0.210305105220385
"VNG1065C",-0.198477142725697,-0.364031134485326,-0.124522802948768,-0.369999903924506,-0.418184253583209,-0.445024799668135,0.0401496017949242,0.0241718741027875,-0.00412338246904205,-0.0163492495949423,-0.0473186018485698,0.118023999511151
