,ura3_A,ura3_B,ura3_C,ura3,ura3_SE,0195_A,0195_B,0195_C,VNG0195H,VNG0195H_SE,0194_A,0194_B,0194_C,VNG0194H,VNG0194H_SE,ftsZ2_A,ftsZ2_B,ftsZ2_C,ftsZ2,ftsZ2_SE
0,0.007,0.007,0.007,0.007,0,0.006,0.007,0.01,0.007666667,0.00120185,0.006,0.007,0.009,0.007333333,0.000881917,0.008,0.008,0.006,0.007333333,0.000666667
17,0.02,0.023,0.02,0.021,0.001,0.012,0.019,0.017,0.016,0.002081666,0.018,0.039,0.034,0.030333333,0.006333333,0.019,0.022,0.021,0.020666667,0.000881917
22,0.03,0.04,0.044,0.038,0.004163332,0.022,0.036,0.027,0.028333333,0.004096069,0.032,0.069,0.061,0.054,0.01123981,0.03,0.042,0.038,0.036666667,0.003527668
25,0.046,0.061,0.052,0.053,0.004358899,0.033,0.043,0.037,0.037666667,0.002905933,0.043,0.108,0.095,0.082,0.019857828,0.049,0.062,0.058,0.056333333,0.003844188
31,0.116,0.128,0.124,0.122666667,0.003527668,0.079,0.101,0.095,0.091666667,0.006565905,0.093,0.233,0.199,0.175,0.042158431,0.119,0.134,0.138,0.130333333,0.005783117
38,0.249,0.261,0.259,0.256333333,0.003711843,0.172,0.212,0.212,0.198666667,0.013333333,0.191,0.468,0.419,0.359333333,0.085347004,0.244,0.296,0.275,0.271666667,0.015103348
44,0.489,0.477,0.482,0.482666667,0.003480102,0.354,0.409,0.407,0.39,0.018009257,0.357,0.761,0.645,0.587666667,0.120096258,0.469,0.538,0.617,0.541333333,0.042756416
47,0.598,0.58,0.606,0.594666667,0.007688375,0.455,0.542,0.549,0.515333333,0.03023427,0.469,0.98,0.87,0.773,0.155281465,0.568,0.597,0.62,0.595,0.015044379
50.5,0.814,0.721,0.823,0.786,0.032603681,0.62,0.699,0.731,0.683333333,0.032986529,0.608,1.19,0.97,0.922666667,0.169667649,0.742,0.748,0.783,0.757666667,0.012784539
64.5,1.71,1.7,1.78,1.73,0.025166115,1.52,1.71,1.71,1.646666667,0.063333333,1.71,1.62,1.78,1.703333333,0.046308147,1.4,1.34,1.43,1.39,0.026457513
94.5,1.91,1.73,2.62,2.086666667,0.271682004,2.11,2.25,2.3,2.22,0.056862407,2.36,1.84,2.06,2.086666667,0.150702061,2.17,2.07,1.91,2.05,0.075718778
